bond,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,n_obs,best_lag,best_corr
us_2y,0.0302,0.0076,0.0196,-0.0158,-0.0086,0.0036,6976,lag_0,0.0302
us_5y,0.0951,0.0453,0.006,0.0175,-0.0098,0.0004,6976,lag_0,0.0951
us_10y,0.086,0.0338,0.0087,0.0094,-0.0107,0.0062,6976,lag_0,0.086
us_30y,0.0789,0.0362,0.0106,0.0016,-0.0072,0.0008,6976,lag_0,0.0789
tlt,-0.0907,-0.0762,-0.0157,-0.0133,0.0074,-0.0024,5656,lag_0,-0.0907
shy,-0.087,-0.0797,0.0106,-0.0199,-0.0039,0.0085,5656,lag_0,-0.087
ief,-0.0904,-0.0837,-0.0165,-0.0219,0.0015,0.0027,5656,lag_0,-0.0904
tip,0.0273,-0.0043,0.0096,-0.0004,0.001,0.0108,5330,lag_0,0.0273
