Date,Open,High,Low,Close,Volume
2000-01-04,248141.63887015684,272520.46875,248141.63887015684,272520.46875,70240
2000-01-05,265555.1031126595,276438.50465819123,254671.70156712772,269908.46875,74643
2000-01-06,274261.78730616847,276438.45720336086,248576.957041123,249447.625,40607
2000-01-07,252930.2244366347,260766.25814168408,251624.19790610537,252494.890625,39823
2000-01-10,265555.01905844215,265555.01905844215,253365.61920862296,253800.953125,39834
2000-01-11,253800.9539848541,259895.653930412,248141.58795714812,248576.921875,41723
2000-01-12,243788.2236485349,243788.2236485349,238999.52545720965,239434.859375,40961
2000-01-13,236387.527322801,243352.92109647833,235081.5254010995,235516.859375,36871
2000-01-14,235516.8691330625,241611.57011582312,235516.8691330625,235952.203125,37467
2000-01-17,236822.88499727257,238564.24616277977,233340.21285753246,233775.546875,37002
2000-01-18,235081.49092639508,235952.15874651264,228551.45717988245,229422.125,34790
2000-01-19,225068.74802131776,228551.4441996241,217668.046875,217668.046875,69792
2000-01-20,217232.69982505156,217668.0588299268,201125.2698961185,211138.0,43401
2000-01-21,208961.3206943508,224198.08209317035,202866.60860613408,210702.65625,75230
2000-01-24,208961.3428474036,217232.71270925688,207655.32849439463,209614.34375,48441
2000-01-25,211573.36914325805,219844.76498762515,209396.69923454832,212008.703125,58692
2000-01-26,214185.36526004245,232469.4900698271,213314.69743017294,222892.09375,101520
2000-01-27,226374.7686962783,252494.95458462829,222021.40438155332,241611.53125,124662
2000-01-28,242046.88738388882,247270.92002182765,228551.484375,228551.484375,80181
2000-01-31,224198.1145211545,243788.24273824017,222892.1126655177,232904.84375,120209
2000-02-01,243788.2443498476,243788.2443498476,230728.1504202432,231163.484375,51203
2000-02-02,231163.45756655838,235081.48780062204,228551.45414093634,232469.484375,68666
2000-02-03,234210.84312097883,236822.84680454267,228986.81065821808,230292.8125,49035
2000-02-04,230292.8125,230292.8125,230292.8125,230292.8125,0
2000-02-07,230292.83173093197,234646.1966627054,224633.46484831706,227245.46875,78508
2000-02-08,226374.75466998844,228551.4492402977,222021.390625,222021.390625,45508
2000-02-09,222021.385728346,225068.74802131776,216797.35400870128,217668.046875,54999
2000-02-10,213750.0285510969,214620.69636958558,211138.0,211138.0,50527
2000-02-11,208961.3069333077,210702.6423742821,203737.2755147564,204172.609375,60341
2000-02-14,200254.59987906946,202431.28194920917,195901.23573879004,197207.25,53682
2000-02-15,193724.5553077165,200254.58860261014,191983.20724009807,192853.875,58511
2000-02-16,195901.21875,205478.6140089253,189371.18565368853,195901.21875,58960
2000-02-17,193724.57276876108,195683.57540511186,189371.20848123895,191547.890625,46170
2000-02-18,191547.88454885565,191547.88454885565,182841.15625,182841.15625,57299
2000-02-21,175005.1423513553,178487.8268196529,168257.4278619723,169781.109375,48094
2000-02-22,163686.37219498327,173916.7822207472,161509.70255951857,168692.75,57266
2000-02-23,172175.42608603078,193942.234375,170651.74486311123,193942.234375,86508
2000-02-24,191112.57248419453,191112.57248419453,174352.13882433405,177617.15625,68430
2000-02-25,174569.8058161906,184147.2036491495,169781.10689971116,177617.15625,52083
2000-02-28,169998.77637002998,175875.81033147525,167822.09387191234,169781.109375,46515
2000-02-29,173699.11973944923,176311.13591722504,168910.42132222417,171522.4375,44580
2000-03-01,171522.4375,171522.4375,171522.4375,171522.4375,0
2000-03-02,174352.14931764538,176311.16491007453,169998.78412287356,173481.46875,60657
2000-03-03,177617.15883953293,177617.15883953293,169128.10838991005,169781.109375,43293
2000-03-06,169781.0565673348,191547.86223047908,168039.70860089536,180664.453125,104145
2000-03-07,180664.46959150175,193724.5617084271,176311.11810034167,180011.46875,80874
2000-03-08,182841.13555904076,192853.8644409592,180664.45373064798,187847.5,132922
2000-03-09,192853.86913520037,209831.97777167577,191983.20140177596,195901.21875,166916
2000-03-10,204607.9695204828,207655.31948148395,188065.19287133752,190241.875,84103
2000-03-13,190241.85539323714,195901.22081580292,185017.82384197423,186759.171875,57314
