Date,Open,High,Low,Close,Volume
2011-06-09,197733.50789988815,220706.69553970918,170657.9653243848,183375.265625,0
2011-06-10,197733.50789988815,220706.69553970918,170657.9653243848,183375.265625,570671
2011-06-13,190349.26555555555,201835.85916666666,183375.26229166667,184605.96875,461654
2011-06-14,183785.48873873873,192810.6689893018,178042.19221565317,182144.546875,388159
2011-06-15,184605.94618055556,202246.06992669753,183785.47530864197,199374.421875,440514
2011-06-16,199374.44983731018,201835.86279826463,189118.5625,189118.5625,310544
2011-06-17,189118.54151019314,196092.5441255365,186246.8933744635,191169.71875,114192
2011-06-20,188708.26859956235,189938.97469912472,183785.4442013129,187477.5625,104823
2011-06-21,187887.86813038794,191990.2233297414,186657.1615705819,190349.28125,65895
2011-06-22,192810.66490800865,192810.66490800865,187887.83942099568,189528.78125,110992
2011-06-23,188298.09375,191579.97773692812,186657.15175653595,188298.09375,88569
2011-06-24,191169.72998670212,194451.61376329788,189118.5526263298,192810.671875,92702
2011-06-27,190759.47369260204,202246.06565688777,190759.47369260204,201015.359375,115528
2011-06-28,203476.77193877552,204297.24279336736,198143.71138392857,201015.359375,74997
2011-06-29,202246.06565688777,204297.24279336736,196913.00510204083,201015.359375,121667
2011-06-30,198553.94785276073,200605.125,196913.00613496933,200605.125,91407
2011-07-01,199374.444140625,200605.15058593752,196502.79576822917,196913.03125,114377
2011-07-04,198964.16576502039,202656.28430498982,196912.98879837067,201425.578125,117452
2011-07-05,202656.30536265433,202656.30536265433,197323.24469521604,199374.421875,99356
2011-07-06,200194.88852040816,201425.59480229593,196913.00510204083,201015.359375,81826
2011-07-07,202656.30787037036,210450.78125,201835.8369883041,210450.78125,206896
2011-07-08,211681.47808908045,216194.06773826628,207579.1238625479,214142.890625,117579
2011-07-11,212912.19563925857,218655.49186074146,211681.48930608368,215783.84375,115603
2011-07-12,214963.40533268102,214963.40533268102,208399.63723091976,209630.34375,70045
2011-07-13,211681.52128180038,212912.22780088062,205938.22419275928,209630.34375,45788
2011-07-14,208399.64870259483,209220.11976047905,202246.1157684631,205528.0,69891
2011-07-15,210040.57253384913,212501.9854932302,208809.86605415863,212091.75,76090
2011-07-18,221116.90268738777,228911.37606597843,219886.19636445242,228501.140625,281829
2011-07-19,227680.69415983607,228090.92964480873,221527.1618852459,225219.28125,98275
