date,institution_net,institution_net_cumsum
2025-11-06,5414,71233
2025-11-07,-7938,63295
2025-11-10,9227,72522
2025-11-11,-406,72116
2025-11-12,6745,78861
2025-11-13,-3597,75264
2025-11-14,-7753,67511
2025-11-17,-2725,64786
2025-11-18,-8119,56667
2025-11-19,7049,63716
2025-11-20,9353,73069
2025-11-21,3836,76905
2025-11-24,8243,85148
2025-11-25,1832,86980
2025-11-26,12137,99117
2025-11-27,4224,103341
2025-11-28,5053,108394
2025-12-01,-1040,107354
2025-12-02,5827,113181
2025-12-03,7153,120334
2025-12-04,-1231,119103
2025-12-05,9650,128753
2025-12-08,-5152,123601
2025-12-09,-698,122903
2025-12-10,-6760,116143
2025-12-11,-12896,103247
2025-12-12,19660,122907
2025-12-15,-3892,119015
2025-12-16,-1609,117406
2025-12-17,3422,120828
2025-12-18,1418,122246
2025-12-19,6081,128327
2025-12-22,12765,141092
2025-12-23,-97,140995
2025-12-24,2895,143890
2025-12-26,1204,145094
2025-12-29,-5246,139848
2025-12-30,-1752,138096
2026-01-02,-2270,135826
2026-01-05,-7202,128624
2026-01-06,-2766,125858
2026-01-07,-12465,113393
2026-01-08,-27201,86192
2026-01-09,7043,93235
2026-01-12,1006,94241
2026-01-13,1951,96192
2026-01-14,1610,97802
2026-01-15,7802,105604
2026-01-16,-6482,99122
2026-01-19,-4075,95047
2026-01-20,-44,95003
2026-01-21,44,95047
2026-01-22,-21655,73392
2026-01-23,9939,83331
2026-01-26,-12141,71190
2026-01-27,459,71649
2026-01-28,-12200,59449
2026-01-29,-6620,52829
2026-01-30,-1431,51398
2026-02-02,-15598,35800
2026-02-03,13175,48975
2026-02-04,17368,66343
2026-02-05,-7805,58538
2026-02-06,8015,66553
2026-02-09,20073,86626
2026-02-10,7543,94169
2026-02-11,10173,104342
2026-02-12,12000,116342
2026-02-13,3598,119940
2026-02-19,15696,135636
2026-02-20,11689,147325
2026-02-23,1859,149184
2026-02-24,7716,156900
2026-02-25,12074,168974
2026-02-26,5763,174737
2026-02-27,-2205,172532
2026-03-03,-5376,167156
2026-03-04,-13498,153658
2026-03-05,-30838,122820
2026-03-06,-5408,117412
2026-03-09,-13841,103571
2026-03-10,5174,108745
2026-03-11,10921,119666
2026-03-12,9755,129421
2026-03-13,-9554,119867
2026-03-16,-2358,117509
2026-03-17,7402,124911
2026-03-18,16632,141543
2026-03-19,-5196,136347
2026-03-20,-2011,134336
2026-03-23,-22745,111591
2026-03-24,3818,115409
2026-03-25,6416,121825
2026-03-26,4528,126353
2026-03-27,9117,135470
2026-03-30,6137,141607
2026-03-31,1599,143206
2026-04-01,25126,168332
2026-04-02,-14099,154233
2026-04-03,3048,157281
2026-04-06,4393,161674
2026-04-07,-5725,155949
2026-04-08,14439,170388
2026-04-09,-14124,156264
2026-04-10,4689,160953
2026-04-13,-7030,153923
2026-04-14,4933,158856
2026-04-15,524,159380
2026-04-16,3986,163366
2026-04-17,1492,164858
2026-04-20,147,165005
2026-04-21,4777,169782
2026-04-22,-1072,168710
2026-04-23,-2589,166121
2026-04-24,7572,173693
2026-04-27,5506,179199
2026-04-28,2078,181277
2026-04-29,-4246,177031
2026-04-30,-1239,175792
2026-05-04,-795,174997
2026-05-06,-3732,171265
