kr_code,kr_name,indicator,threshold,direction,tp,sl,max_hold,label,n,win_rate,avg_ret,edge,max_win,max_loss
052690,한전기술,dow,2.5,BUY,3.0,-2.0,5,단기_표준,35,0.6286,2.0268,70.94,29.91,-13.37
373220,LG에너지솔루션,defense,2.0,BUY,3.0,-2.0,5,단기_표준,33,0.6364,2.149,70.92,22.76,-4.98
032830,삼성생명,institution_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,35,0.6,2.0252,70.88,10.75,-6.05
138040,메리츠금융지주,usd_krw,-2.0,SELL_SIG,5.0,-3.0,10,중기,34,0.6176,2.073,70.48,10.5,-6.2
051910,LG화학,foreign_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,33,0.7273,2.1169,69.86,10.74,-6.45
028260,삼성물산,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.6875,2.1596,69.11,11.74,-7.73
028260,삼성물산,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.6875,2.1596,69.11,11.74,-7.73
402340,SK스퀘어,foreign_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.6471,2.0215,68.73,13.06,-9.37
051910,LG화학,foreign_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,31,0.7419,2.2157,68.69,10.74,-6.45
032830,삼성생명,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.625,2.1386,68.43,10.85,-6.05
032830,삼성생명,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.625,2.1386,68.43,10.85,-6.05
316140,우리금융지주,copper,3.0,BUY,5.0,-3.0,10,중기,34,0.6471,2.0109,68.37,12.89,-5.47
000660,SK하이닉스,foreign_net,2.0,BUY,5.0,-3.0,10,중기,31,0.6129,2.185,67.73,13.81,-11.16
011790,SKC,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,31,0.6129,2.1792,67.56,12.73,-7.05
011790,SKC,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,31,0.6129,2.1792,67.56,12.73,-7.05
033780,KT&G,institution_net,1.5,BUY,3.0,-2.0,5,단기_표준,30,0.7667,2.2464,67.39,8.38,-3.08
