Date,kospi,vix,kospi_ret1,kospi_ret20,kospi_vol10,phase,nasdaq_ret1,sox_ret1,nvda_ret1,amd_ret1,usd_krw_ret1,gold_ret1
2021-04-02,3112.800048828125,,,,,일반장,,,,,,
2021-04-05,3120.830078125,17.90999984741211,0.2579680407001516,,,일반장,,,,,0.064711135119877,
2021-04-06,3127.080078125,18.1200008392334,0.2002672315871478,,,일반장,-0.0694779691002622,-1.1172018687740315,-0.9008151834008936,0.0122831096561304,-0.4146079916531153,0.8396062536189852
2021-04-07,3137.409912109375,17.15999984741211,0.3303348083931734,,,일반장,0.2418020024023359,-0.0653890979185334,2.0344327455951383,0.9331955845442552,-0.5880194498490532,-0.0803918698858763
2021-04-08,3143.260009765625,16.950000762939453,0.1864626497694921,,,일반장,1.0433561200018815,1.139545242495421,1.226721646696971,1.399028672230984,0.032213454278529,0.9597191814547434
2021-04-09,3131.8798828125,16.690000534057617,-0.3620485393435069,,,일반장,0.6058623820707654,-0.3123593811136471,0.579730294826164,-0.7078540476204154,-0.1807041631081141,-0.7684426015928891
2021-04-12,3135.590087890625,16.90999984741211,0.1184657527412369,,,일반장,-0.1305343831184635,-1.0742579343517744,5.618046234995311,-5.050749392556952,0.5574359194837397,-0.6940915113484825
2021-04-13,3169.080078125,16.649999618530273,1.0680602150042071,,,일반장,1.1673031448035331,-0.1583919363007058,3.093558659866513,2.0488681252681,0.2129915025333106,0.8664510410739235
2021-04-14,3182.3798828125,16.989999771118164,0.4196739861294096,,,일반장,-1.2008301912784125,-1.0990203913832983,-2.5670414656557394,-2.0451419624868628,-0.3343865826759495,-0.6471152831168725
2021-04-15,3194.330078125,16.56999969482422,0.3755112762320101,,,일반장,1.5155927211477185,1.6748660870552934,5.63102175923722,5.677910771733385,-0.4086728974242892,1.7580263744765956
2021-04-16,3198.6201171875,16.25,0.13430168321924,,0.3538422714336855,일반장,0.1170776397449779,-0.4687153579230108,-1.3927463389426964,-1.036020465268972,-0.0394173882524162,0.7703622633885132
2021-04-19,3198.840087890625,17.290000915527344,0.0068770499485948,,0.3637886459122217,일반장,-0.9151591246272072,-2.6286300894261982,-3.461119217703845,-1.2659779625198486,-0.0017943953374621,-0.5396276327114924
2021-04-20,3220.699951171875,18.68000030517578,0.6833684298255926,,0.3880450285418307,일반장,-0.7288838060197533,-1.4253036480325163,-1.240083532773606,-2.268529100529104,-0.105772749976607,0.4464804060731575
2021-04-21,3171.659912109375,17.5,-1.5226515914547267,,0.6927034540177418,일반장,0.8560955383962066,2.622993620310488,1.247399203539934,2.951941549615089,0.1471564682359982,0.8439767955833011
2021-04-22,3177.52001953125,18.709999084472656,0.1847646842431327,,0.6926830551165948,일반장,-1.2054571362843602,-2.176723632608135,-3.321808900648049,-3.124620797312394,-0.0403142322692562,-0.6193213945124731
2021-04-23,3181.080078125,17.329999923706055,0.1120389036691316,,0.6726718905453386,일반장,1.258940295208455,1.8233472086807143,2.7945589332899923,4.679995815702531,0.2626186787070272,-0.2357933576806914
2021-04-26,3217.530029296875,17.639999389648438,1.1458356997211985,,0.7409461248018941,일반장,0.6511022876829697,1.8322207249090503,1.393677638094637,3.202031727254861,-0.3987127610454943,0.1238014165376943
2021-04-27,3215.419921875,17.559999465942383,-0.0655815921735469,,0.6885816460164585,일반장,-0.4332209387205465,-0.7500809059041602,-0.6218522328820253,-0.2341699672885555,-0.4398072390643381,-0.0674433006298547
2021-04-28,3181.469970703125,17.280000686645508,-1.0558481317139434,,0.7762659496038544,일반장,-0.3380777440133542,-1.51830146139168,-0.6826167676391104,-1.3965525809084278,0.263249641348362,-0.269969000456971
2021-04-29,3174.070068359375,17.610000610351562,-0.232593813925408,,0.7673361664312689,일반장,0.3598927223580128,0.6491413208250529,0.3141897446209407,-0.1309128604519038,-0.3138057058636234,-0.2876142412798432
2021-04-30,3147.860107421875,18.61000061035156,-0.8257524368719293,1.126319006803822,0.7995745021877669,일반장,-0.6554591944022747,-2.787176054097173,-2.0571330390789955,-2.729115499444823,-0.183106564166624,-0.0452421677992198
2021-05-03,3127.199951171875,18.309999465942383,-0.656323837304218,0.2041082945054784,0.8118853346454871,일반장,-0.5325759416168752,-1.0401958701417249,-1.150918168134074,-3.76133250614572,0.915392212222299,1.3636606642951188
2021-05-04,3147.3701171875,19.479999542236328,0.6449912487388687,0.6488493596449763,0.8072007121338732,일반장,-1.7995377775250063,-1.685631019071332,-3.2723006340623417,0.0763813574319316,0.325944215105034,-0.8708259112053973
2021-05-05,,19.14999961853028,0.0,0.3174658510410655,0.6671221287237185,일반장,-0.3362404189007573,0.6258881783139936,0.7473414848938376,-0.992238612442098,0.4025356718448503,0.4673908395987247
2021-05-06,3160.429931640625,18.38999938964844,0.4149437138583289,0.5462456755615408,0.6809034730551475,일반장,0.7537434372528073,0.820454946103677,0.4461035814917302,0.0770879573200877,-0.0817882246008649,1.7599924244015464
2021-05-07,3197.199951171875,16.690000534057617,1.1634499206303328,2.08565049757643,0.7826003351160349,일반장,0.8114055911438323,1.373152835487712,1.991661193834116,1.181150566381417,-0.4092541415763207,0.8592660746867153
2021-05-10,3249.300048828125,19.65999984741211,1.6295539363171183,3.626429404042253,0.8679286811611256,상승장,-2.525424515088248,-4.447274001804969,-3.689513288208046,-3.57822583705526,-0.6628649396736797,0.3495180219209359
2021-05-11,3209.429931640625,21.84000015258789,-1.2270371030179028,1.2732355295830278,0.9650748750811275,변동폭큰,-0.1381619212925011,0.1338115913419812,0.2838795894274604,1.1054138582699655,0.3210579829882931,-0.0870735012755141
2021-05-12,3161.659912109375,27.59000015258789,-1.4884269340265877,-0.6510841403639445,1.0247872973087944,변동폭큰,-2.5882716190209543,-4.073829424316089,-3.828730135042857,-2.850452153082017,0.2411335597161112,-0.724442978989015
2021-05-13,3122.110107421875,23.1299991607666,-1.250919004160489,-2.260880026071588,1.0924562738282364,변동폭큰,0.7731420372115938,1.274568675144816,-0.6777636620446059,-2.0766386179429386,1.1956391217111673,0.0658440282159
2021-05-14,3153.320068359375,18.809999465942383,0.9996431856553524,-1.4162372263185952,1.1209048979157488,일반장,2.2076551464635497,3.095393957271342,4.227879494813824,2.0522644344727947,-0.5213878173696007,0.7731097274066512
2021-05-17,3134.52001953125,19.71999931335449,-0.5961985596313557,-2.0107309709810783,1.117010697679322,일반장,-0.606615812169542,-0.8723315208447935,-0.5441247150494211,0.0804466965200756,-0.0150947750173657,1.6105324115969877
2021-05-18,3173.050048828125,21.34000015258789,1.2292162454472733,-1.4794890261793037,1.1669693880569123,변동폭큰,-0.6751013868645073,-0.80518080176325,-1.057156124420067,-0.2813115608575778,0.8866916216339948,0.0160668716532752
2021-05-19,,22.18000030517578,0.0,0.0438299425938648,1.1669693880569123,변동폭큰,0.1148415782533662,1.950161111828552,0.356748455230349,2.404622322435168,-0.737113283476476,0.7227754388629659
2021-05-20,3162.280029296875,20.670000076293945,-0.3394216720668419,-0.4796190154806035,1.1678269051067216,변동폭큰,1.9343528637394856,2.6302140554920417,3.887118254461175,2.4006219612657365,0.2865642623607334,0.0265773660246937
