Date,Open,High,Low,Close,Volume
2016-11-11,227447.265625,283738.5625,216036.875,245703.90625,5350737
2016-11-14,251028.765625,270046.09375,251028.765625,267003.3125,1956884
2016-11-15,272328.15625,276131.625,247225.296875,252550.140625,1704332
2016-11-16,256353.609375,263199.84375,248746.6875,258635.6875,1091751
2016-11-17,268524.71875,270046.09375,254832.21875,254832.21875,599624
2016-11-18,254071.53125,255592.921875,239618.359375,255592.921875,862667
2016-11-21,254832.21875,261678.46875,249507.375,257114.3125,422065
2016-11-22,258635.6875,264721.25,257114.3125,260157.078125,373502
2016-11-23,262439.15625,262439.15625,251028.765625,252550.140625,301754
2016-11-24,251028.765625,251789.453125,236575.59375,236575.59375,550743
2016-11-25,234293.515625,248746.6875,232772.125,246464.59375,461664
2016-11-28,244943.21875,251789.453125,241900.4375,245703.90625,270365
2016-11-29,239618.359375,241900.4375,229729.34375,238857.671875,587569
2016-11-30,237336.28125,241139.75,228968.65625,234293.515625,1607036
2016-12-01,233532.8125,234293.515625,219079.640625,219840.34375,560202
2016-12-02,219840.34375,222122.421875,211472.71875,216036.875,461781
2016-12-05,218318.953125,222883.109375,216036.875,216036.875,267492
2016-12-06,216797.5625,225165.1875,216797.5625,222122.421875,269263
2016-12-07,222883.109375,231250.734375,222883.109375,228968.65625,227209
2016-12-08,232011.4375,235054.203125,223643.796875,228968.65625,236471
2016-12-09,228968.65625,228968.65625,219840.34375,220601.03125,189462
2016-12-12,220601.03125,225165.1875,216797.5625,217558.265625,206911
2016-12-13,218318.953125,221361.71875,214515.484375,221361.71875,158203
2016-12-14,223643.796875,223643.796875,216797.5625,218318.953125,122215
2016-12-15,216797.5625,219079.640625,214515.484375,216797.5625,133009
2016-12-16,217558.265625,219840.34375,215276.171875,219840.34375,152828
2016-12-19,219079.640625,229729.34375,217558.265625,228207.96875,232829
2016-12-20,230490.046875,233532.8125,228207.96875,230490.046875,174983
2016-12-21,232011.4375,232772.125,225165.1875,225165.1875,96716
2016-12-22,225165.1875,226686.578125,219079.640625,219079.640625,102038
2016-12-23,219079.640625,222883.109375,219079.640625,219079.640625,56864
2016-12-26,220601.03125,221361.71875,219079.640625,219079.640625,41402
2016-12-27,219079.640625,223643.796875,219079.640625,221361.71875,70843
2016-12-28,224404.5,235814.890625,223643.796875,231250.734375,208216
2016-12-29,229729.34375,232011.4375,227447.265625,229729.34375,82739
2017-01-02,230490.046875,240379.0625,229729.34375,238096.96875,159226
2017-01-03,238096.96875,240379.0625,235054.203125,240379.0625,107569
2017-01-04,242661.140625,244943.21875,235054.203125,235054.203125,118407
2017-01-05,237336.28125,240379.0625,237336.28125,239618.359375,63105
2017-01-06,240379.0625,241139.75,236575.59375,239618.359375,57910
2017-01-09,239618.359375,240379.0625,232772.125,235054.203125,82083
2017-01-10,234293.515625,234293.515625,228968.65625,229729.34375,102998
2017-01-11,230490.046875,244943.21875,230490.046875,241900.4375,232040
2017-01-12,239618.359375,241139.75,235054.203125,238857.671875,99739
2017-01-13,235814.890625,240379.0625,232011.4375,232772.125,121685
2017-01-16,234293.515625,235054.203125,229729.34375,230490.046875,82512
2017-01-17,229729.34375,234293.515625,228207.96875,231250.734375,72926
2017-01-18,232772.125,233532.8125,231250.734375,232772.125,48423
2017-01-19,236575.59375,238096.96875,231250.734375,232011.4375,63361
2017-01-20,232011.4375,236575.59375,231250.734375,235814.890625,52421
2017-01-23,237336.28125,238096.96875,234293.515625,236575.59375,58831
2017-01-24,236575.59375,237336.28125,232011.4375,235814.890625,73801
2017-01-25,237336.28125,238096.96875,232011.4375,235814.890625,92472
2017-01-26,238096.96875,249507.375,236575.59375,244943.21875,267646
2017-01-31,246464.59375,249507.375,244182.515625,244943.21875,150512
2017-02-01,246464.59375,247985.984375,242661.140625,247985.984375,90848
2017-02-02,248746.6875,263199.84375,247225.296875,260917.765625,392956
2017-02-03,263960.53125,268524.71875,260917.765625,263199.84375,262537
2017-02-06,261678.46875,262439.15625,254071.53125,256353.609375,165328
2017-02-07,256353.609375,262439.15625,254071.53125,260917.765625,139840
2017-02-08,260917.765625,261678.46875,245703.90625,247985.984375,245874
2017-02-09,247985.984375,252550.140625,244182.515625,244943.21875,144192
2017-02-10,243421.828125,244943.21875,237336.28125,240379.0625,463230
2017-02-13,237336.28125,242661.140625,236575.59375,240379.0625,116476
2017-02-14,240379.0625,242661.140625,238096.96875,238096.96875,99141
2017-02-15,237336.28125,245703.90625,237336.28125,244182.515625,85728
2017-02-16,244943.21875,247225.296875,241139.75,241900.4375,87139
2017-02-17,236575.59375,244182.515625,235814.890625,244182.515625,126857
2017-02-20,242661.140625,245703.90625,241900.4375,244943.21875,50087
2017-02-21,244943.21875,252550.140625,244182.515625,251789.453125,107769
2017-02-22,253310.84375,254071.53125,249507.375,251028.765625,70091
2017-02-23,251028.765625,255592.921875,251028.765625,255592.921875,95019
2017-02-24,254832.21875,255592.921875,251028.765625,251789.453125,55258
2017-02-27,254071.53125,254832.21875,249507.375,253310.84375,58718
2017-02-28,254071.53125,255592.921875,247225.296875,250268.0625,99579
2017-03-02,251028.765625,252550.140625,244943.21875,245703.90625,99317
2017-03-03,245703.90625,247985.984375,244182.515625,246464.59375,48380
2017-03-06,247225.296875,251789.453125,246464.59375,250268.0625,61782
2017-03-07,250268.0625,255592.921875,248746.6875,255592.921875,90594
2017-03-08,257114.3125,261678.46875,255592.921875,258635.6875,178283
2017-03-09,258635.6875,260157.078125,255592.921875,255592.921875,72032
2017-03-10,255592.921875,260157.078125,254071.53125,260157.078125,98153
2017-03-13,258635.6875,263199.84375,257875.0,263199.84375,90600
2017-03-14,262439.15625,266242.625,258635.6875,260157.078125,87583
2017-03-15,260157.078125,263960.53125,256353.609375,263960.53125,87784
2017-03-16,264721.25,268524.71875,264721.25,268524.71875,124229
2017-03-17,267764.0,275370.9375,267003.3125,274610.25,199043
2017-03-20,273849.5625,286020.65625,269285.40625,285259.96875,238348
2017-03-21,285259.96875,303516.59375,283738.5625,293627.59375,325555
2017-03-22,287542.03125,296670.34375,282977.875,286020.65625,224367
2017-03-23,289063.40625,293627.59375,279935.09375,284499.25,185996
2017-03-24,284499.25,292106.1875,282217.1875,285259.96875,124884
2017-03-27,283738.5625,285259.96875,275370.9375,276892.34375,116295
2017-03-28,279935.09375,283738.5625,277653.03125,281456.5,69075
2017-03-29,284499.25,286781.34375,278413.71875,279174.40625,78621
2017-03-30,269285.40625,273849.5625,263199.84375,269285.40625,391724
2017-03-31,265481.9375,267003.3125,260157.078125,263199.84375,254979
2017-04-03,260917.765625,270046.09375,260917.765625,267764.0,141372
2017-04-04,267764.0,270046.09375,264721.25,270046.09375,72777
2017-04-05,269285.40625,276892.34375,268524.71875,276892.34375,113663
2017-04-06,275370.9375,276892.34375,272328.15625,275370.9375,87790
2017-04-07,276131.625,276892.34375,269285.40625,270806.78125,103060
2017-04-10,269285.40625,270046.09375,263960.53125,263960.53125,89944
2017-04-11,265481.9375,270046.09375,264721.25,269285.40625,98635
2017-04-12,268524.71875,273849.5625,267764.0,273849.5625,85656
